"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"2003","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-373.7",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-516.1",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-611.4",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-293.1",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-179.0",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-275.9",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-512.1",""
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-499.9",""
"2017","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-348.6",""
"2018","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-508.8",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-399.5",""
"2020","Kosovo (under United Nations Security Council Resolution 1244/99)","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-472.2",""
